"","subject","session","scan"
"1161","0025393",1,2
"1162","0025393",1,3
"1163","0025393",1,4
"1164","0025394",1,1
"1165","0025394",1,2
"1166","0025394",1,3
"1167","0025394",1,4
"1168","0025395",1,1
"1169","0025395",1,2
"1170","0025395",1,3
"1171","0025395",1,4
"1172","0025396",1,1
"1173","0025396",1,2
"1174","0025396",1,3
"1175","0025396",1,4
"1176","0025397",1,1
"1177","0025397",1,2
"1178","0025397",1,3
"1179","0025397",1,4
"1180","0025398",1,1
"1181","0025398",1,2
"1182","0025398",1,3
"1183","0025398",1,4
"1184","0025399",1,1
"1185","0025399",1,2
"1186","0025399",1,3
"1187","0025399",1,4
"1188","0025400",1,1
"1189","0025400",1,2
"1190","0025400",1,3
"1191","0025400",1,4
"1192","0025401",1,1
"1193","0025401",1,2
"1194","0025401",1,3
"1195","0025401",1,4
"1196","0025402",1,1
"1197","0025402",2,1
"1198","0025403",1,1
"1199","0025403",2,1
"1200","0025404",1,1
"1201","0025404",2,1
"1202","0025405",1,1
"1203","0025405",2,1
"1204","0025406",1,1
"1205","0025406",2,1
"1206","0025407",1,1
"1207","0025407",2,1
"1208","0025408",1,1
"1209","0025408",2,1
"1210","0025409",1,1
"1211","0025409",2,1
"1212","0025410",1,1
"1213","0025410",2,1
"1214","0025411",1,1
"1215","0025411",2,1
"1216","0025412",1,1
"1217","0025412",2,1
"1218","0025413",1,1
"1219","0025413",2,1
"1220","0025414",1,1
"1221","0025414",2,1
"1222","0025415",1,1
"1223","0025415",2,1
"1224","0025416",1,1
"1225","0025416",2,1
"1226","0025417",1,1
"1227","0025417",2,1
"1228","0025418",1,1
"1229","0025418",2,1
"1230","0025419",1,1
"1231","0025419",2,1
"1232","0025420",1,1
"1233","0025420",2,1
"1234","0025421",1,1
"1235","0025421",2,1
"1236","0025422",1,1
"1237","0025422",2,1
"1238","0025423",1,1
"1239","0025423",2,1
"1240","0025424",1,1
"1241","0025424",2,1
"1242","0025425",1,1
"1243","0025425",2,1
"1244","0025426",1,1
"1245","0025426",2,1
"1246","0025427",1,1
"1247","0025427",10,1
